code,count
RUF002,99
RUF003,77
PLC0415,61
E402,54
ANN001,28
I001,25
E231,25
S101,24
BLE001,20
ANN201,19
W391,14
S110,12
PT018,9
N806,8
PTH120,8
N999,8
F401,7
ANN202,7
SIM105,7
E701,7
INP001,7
TRY003,6
RUF001,6
E501,5
T203,5
C401,5
PTH100,4
PLR0914,4
EM101,4
PLR6201,4
PLR2004,4
F821,3
PTH118,3
C901,3
PLR0915,3
E201,3
E202,3
RET504,3
B010,3
C416,3
UP035,2
DOC201,2
E302,2
PLR0912,2
SIM118,2
E702,2
RUF005,2
EM102,2
RUF100,2
TD002,1
TD003,1
C408,1
E305,1
B007,1
ANN204,1
FURB177,1
PTH201,1
TC001,1
E306,1
E226,1
EXE005,1
UP006,1
S404,1
DOC501,1
S605,1
S607,1
RUF102,1
