code,count
RUF003,38
DOC201,35
D102,33
S101,29
TRY003,25
EM101,20
TC001,18
BLE001,17
D103,17
ANN001,16
D100,15
F401,14
RUF031,14
I001,11
C901,11
D101,11
DOC501,10
ANN201,9
RUF002,9
S110,8
PLR0912,8
PLR6201,8
RUF001,8
PLR0914,7
EM102,7
D400,6
UP037,5
B007,5
SIM105,5
N806,5
E402,5
PLR0915,4
T201,4
ANN204,4
RET504,4
SIM108,3
F821,3
FURB118,3
PLR1711,3
F841,3
D205,3
ANN401,3
PLC0415,3
UP035,2
D202,2
B009,2
SIM118,2
PIE790,2
C420,2
E501,2
D401,2
PERF102,2
FURB136,2
TD002,2
TD003,2
RUF005,2
PERF403,2
ANN202,2
PT018,2
ANN205,1
C401,1
ARG002,1
PLR1702,1
D104,1
E401,1
RUF012,1
D404,1
FURB142,1
RUF017,1
PLW2901,1
W293,1
D204,1
E302,1
RUF022,1
PLW0603,1
D200,1
PLR0913,1
PLR0917,1
PLR0916,1
TC003,1
RUF052,1
TRY004,1
ANN003,1
PLR2004,1
DOC502,1
UP047,1
W391,1
N999,1
